date,date,value
1951-07-01 09:00:00,1951-07-01 09:00:00,51.0
1951-08-01 09:00:00,1951-08-01 09:00:00,20.2
1951-09-01 09:00:00,1951-09-01 09:00:00,47.0
1951-10-01 09:00:00,1951-10-01 09:00:00,88.8
1951-11-01 09:00:00,1951-11-01 09:00:00,311.6
1951-12-01 09:00:00,1951-12-01 09:00:00,41.3
1952-01-01 09:00:00,1952-01-01 09:00:00,49.7
1952-02-01 09:00:00,1952-02-01 09:00:00,7.2
1952-03-01 09:00:00,1952-03-01 09:00:00,155.5
1952-04-01 09:00:00,1952-04-01 09:00:00,88.1
1952-05-01 09:00:00,1952-05-01 09:00:00,169.4
1952-06-01 09:00:00,1952-06-01 09:00:00,66.2
1952-07-01 09:00:00,1952-07-01 09:00:00,17.0
1952-08-01 09:00:00,1952-08-01 09:00:00,30.4
1952-09-01 09:00:00,1952-09-01 09:00:00,58.0
1952-10-01 09:00:00,1952-10-01 09:00:00,49.6
1952-11-01 09:00:00,1952-11-01 09:00:00,154.8
1952-12-01 09:00:00,1952-12-01 09:00:00,156.9
1953-01-01 09:00:00,1953-01-01 09:00:00,26.0
1953-02-01 09:00:00,1953-02-01 09:00:00,15.6
1953-03-01 09:00:00,1953-03-01 09:00:00,18.0
1953-04-01 09:00:00,1953-04-01 09:00:00,64.5
1953-05-01 09:00:00,1953-05-01 09:00:00,35.5
1953-06-01 09:00:00,1953-06-01 09:00:00,4.0
1953-07-01 09:00:00,1953-07-01 09:00:00,0.0
1953-08-01 09:00:00,1953-08-01 09:00:00,0.0
1953-09-01 09:00:00,1953-09-01 09:00:00,40.8
1953-10-01 09:00:00,1953-10-01 09:00:00,172.0
1953-11-01 09:00:00,1953-11-01 09:00:00,61.3
1953-12-01 09:00:00,1953-12-01 09:00:00,50.8
1954-01-01 09:00:00,1954-01-01 09:00:00,41.2
1954-02-01 09:00:00,1954-02-01 09:00:00,58.7
1954-03-01 09:00:00,1954-03-01 09:00:00,225.4
1954-04-01 09:00:00,1954-04-01 09:00:00,44.3
1954-05-01 09:00:00,1954-05-01 09:00:00,36.1
1954-06-01 09:00:00,1954-06-01 09:00:00,43.8
1954-07-01 09:00:00,1954-07-01 09:00:00,0.0
1954-08-01 09:00:00,1954-08-01 09:00:00,12.8
1954-09-01 09:00:00,1954-09-01 09:00:00,0.8
1954-10-01 09:00:00,1954-10-01 09:00:00,28.2
1954-11-01 09:00:00,1954-11-01 09:00:00,176.2
1954-12-01 09:00:00,1954-12-01 09:00:00,86.4
1955-01-01 09:00:00,1955-01-01 09:00:00,393.2
1955-02-01 09:00:00,1955-02-01 09:00:00,219.2
1955-03-01 09:00:00,1955-03-01 09:00:00,117.5
1955-04-01 09:00:00,1955-04-01 09:00:00,34.6
1955-05-01 09:00:00,1955-05-01 09:00:00,71.3
1955-06-01 09:00:00,1955-06-01 09:00:00,56.8
1955-07-01 09:00:00,1955-07-01 09:00:00,3.0
1955-08-01 09:00:00,1955-08-01 09:00:00,20.2
1955-09-01 09:00:00,1955-09-01 09:00:00,1.8
1955-10-01 09:00:00,1955-10-01 09:00:00,55.5
1955-11-01 09:00:00,1955-11-01 09:00:00,193.5
1955-12-01 09:00:00,1955-12-01 09:00:00,378.1
1956-01-01 09:00:00,1956-01-01 09:00:00,186.4
1956-02-01 09:00:00,1956-02-01 09:00:00,51.3
1956-03-01 09:00:00,1956-03-01 09:00:00,331.3
1956-04-01 09:00:00,1956-04-01 09:00:00,160.2
1956-05-01 09:00:00,1956-05-01 09:00:00,115.3
1956-06-01 09:00:00,1956-06-01 09:00:00,44.7
1956-07-01 09:00:00,1956-07-01 09:00:00,19.8
1956-08-01 09:00:00,1956-08-01 09:00:00,95.3
1956-09-01 09:00:00,1956-09-01 09:00:00,91.3
1956-10-01 09:00:00,1956-10-01 09:00:00,66.3
1956-11-01 09:00:00,1956-11-01 09:00:00,26.6
1956-12-01 09:00:00,1956-12-01 09:00:00,110.6
1957-01-01 09:00:00,1957-01-01 09:00:00,35.4
1957-02-01 09:00:00,1957-02-01 09:00:00,162.2
1957-03-01 09:00:00,1957-03-01 09:00:00,130.0
1957-04-01 09:00:00,1957-04-01 09:00:00,22.8
1957-05-01 09:00:00,1957-05-01 09:00:00,75.1
1957-06-01 09:00:00,1957-06-01 09:00:00,39.4
1957-07-01 09:00:00,1957-07-01 09:00:00,11.3
1957-08-01 09:00:00,1957-08-01 09:00:00,13.4
